id,src,tgt
0,"galatasaray , deplasman da devirdiği fransız rakibi nantes önün de oyunu riske etmedi .","galatasaray , deplasmanda devirdiği fransız rakibi nantes önünde oyunu riske etmedi ."
1,lazionun galibiyeti ile ekibimiz grubun da liderliğe yükseldi,lazionun galibiyeti ile ekibimiz grubunda liderliğe yükseldi
2,"abd , türkiyeye destek için ekonomik paket üzerin de çalışıyor .","abd , türkiyeye destek için ekonomik paket üzerinde çalışıyor ."
3,otomotivde ki son durumu otokoç otomotiv genel müdürü özetledi,otomotivdeki son durumu otokoç otomotiv genel müdürü özetledi
4,"cennet vaadiyle kıyam çağrılarınıda reddetmeliyiz , cehennem seferberliğini reddettiğimiz gibi ...","cennet vaadiyle kıyam çağrılarını da reddetmeliyiz , cehennem seferberliğini reddettiğimiz gibi ..."
5,fenerbahçe kadıköy de üst üste 23. galibiyetini antalyaspor karşısın da 3 2 ile aldı .,fenerbahçe kadıköyde üst üste 23. galibiyetini antalyaspor karşısında 3 2 ile aldı .
6,"nbc ve senatoya gönderilen şarbonlu mektuplarda ki yazıları inceleyen adli̇ uzmanlar , suçlunun profilini çıkardı","nbc ve senatoya gönderilen şarbonlu mektuplardaki yazıları inceleyen adli̇ uzmanlar , suçlunun profilini çıkardı"
7,"amerikayı , erkek asker ve depresyon da","amerikayı , erkek asker ve depresyonda"
8,"derbiler de kimin şansı tutuyor , i̇nönü kime daha çok yarıyor ?","derbilerde kimin şansı tutuyor , i̇nönü kime daha çok yarıyor ?"
9,"aşkın nur yengi , aşk ilişkisin de yaşadığı tatsız olaylar yüzünden 4 5 kilo verdiğini söylüyor","aşkın nur yengi , aşk ilişkisinde yaşadığı tatsız olaylar yüzünden 4 5 kilo verdiğini söylüyor"
10,tbmm de son durum !,tbmmde son durum !
11,dspde ki istifa depremi ile tbmm de partilerin sandalye dağılımı her saat değişiyor .,dspdeki istifa depremi ile tbmmde partilerin sandalye dağılımı her saat değişiyor .
12,i̇şte tbmmde ki son durum ...,i̇şte tbmmdeki son durum ...
13,türkiye de yaşanan siyasi gelişmeler dünya basını tarafındanda ilgiyle izleniyor .,türkiyede yaşanan siyasi gelişmeler dünya basını tarafından da ilgiyle izleniyor .
14,bugün yayınlanan gazeteler dede çeşitli haber ve yorumlar çıktı .,bugün yayınlanan gazetelerde de çeşitli haber ve yorumlar çıktı .
